candidate_id,family,mechanism_family,timeframe,context,trigger,confirmation,participation,participation_style,invalidation,risk_model,exit_family,time_stop_bars,session_filter,modules,transfer_risk_prior,mechanism_signature,priority_seed,novelty_score,beam_score,source_branch,hypothesis,economic_fingerprint
s70_c5982817634f6b72,liquidity_sweep_reversal,liquidity_sweep_reversal,2h,range,pool_violation_reclaim,flow_exhaustion_confirm,close_back_inside,close_back_inside,flow_reversal,sweep_reversal,fixed_rr,6,any_session,"['liquidity_map', 'flow_regime_engine', 'trade_geometry_layer']",0.28,0f42ebb906678fc070c5,0.83,0.765455,0.4375,mechanism_generator,"{'context': 'range', 'trigger': 'pool_violation_reclaim', 'participation': 'close_back_inside', 'invalidation': 'flow_reversal', 'risk_model': 'sweep_reversal', 'exit_family': 'fixed_rr', 'time_stop_bars': 6, 'session_filter': 'any_session'}",0f42ebb906678fc070c5
s70_c99cc39a7af59304,liquidity_sweep_reversal,liquidity_sweep_reversal,15m,liquidity_rotation,liquidity_sweep_reclaim,flow_exhaustion_confirm,delayed_reclaim,delayed_reclaim,failed_reclaim,sweep_reversal,breakeven_then_fixed,8,session_extremes,"['liquidity_map', 'flow_regime_engine', 'trade_geometry_layer']",0.28,cd2965205e80a575c458,0.83,0.765455,0.5125,mechanism_generator,"{'context': 'liquidity_rotation', 'trigger': 'liquidity_sweep_reclaim', 'participation': 'delayed_reclaim', 'invalidation': 'failed_reclaim', 'risk_model': 'sweep_reversal', 'exit_family': 'breakeven_then_fixed', 'time_stop_bars': 8, 'session_filter': 'session_extremes'}",cd2965205e80a575c458
s70_cf5e39825856731d,multi_tf_disagreement_repair,multi_tf_disagreement_repair,4h,trend,htf_ltf_disagreement_repair,flow_continuation_confirm,alignment_reclaim,alignment_reclaim,misalignment_persists,multi_tf_repair,trailing_atr,8,any_session,"['mtf_bias_completion', 'structure_engine', 'flow_regime_engine']",0.26,e1d1ed84d1fe08930229,0.83,0.765455,0.5125,mechanism_generator,"{'context': 'trend', 'trigger': 'htf_ltf_disagreement_repair', 'participation': 'alignment_reclaim', 'invalidation': 'misalignment_persists', 'risk_model': 'multi_tf_repair', 'exit_family': 'trailing_atr', 'time_stop_bars': 8, 'session_filter': 'any_session'}",e1d1ed84d1fe08930229
s70_da47651ff7b6ec43,volatility_regime_transition,volatility_regime_transition,4h,vol_shock,compression_to_expansion,momentum_slope_confirm,confirmation_break,confirmation_break,recompression,vol_transition,trailing_atr,20,any_session,"['volatility_regime_engine', 'structure_engine']",0.3,486d2e0efb587ee1ced2,0.83,0.765455,0.6125,mechanism_generator,"{'context': 'vol_shock', 'trigger': 'compression_to_expansion', 'participation': 'confirmation_break', 'invalidation': 'recompression', 'risk_model': 'vol_transition', 'exit_family': 'trailing_atr', 'time_stop_bars': 20, 'session_filter': 'any_session'}",486d2e0efb587ee1ced2
s70_ecb68269307e8cf9,failed_breakout_reversal,failed_breakout_reversal,4h,vol_shock,fake_breakout_reversal,exhaustion_confirm,close_back_inside,close_back_inside,trend_continuation,failed_breakout_reversal,fixed_rr,10,any_session,"['liquidity_map', 'volatility_regime_engine', 'flow_regime_engine']",0.35,17976accb0f46e6b2aed,0.83,0.765455,0.55,mechanism_generator,"{'context': 'vol_shock', 'trigger': 'fake_breakout_reversal', 'participation': 'close_back_inside', 'invalidation': 'trend_continuation', 'risk_model': 'failed_breakout_reversal', 'exit_family': 'fixed_rr', 'time_stop_bars': 10, 'session_filter': 'any_session'}",17976accb0f46e6b2aed
s70_eee4082f3d09caf6,structure_pullback_continuation,structure_pullback_continuation,2h,transition,micro_break_reclaim,volume_expansion_confirm,aligned_flow,aligned_flow,structure_break,trend_pullback,scale_out_then_trail,8,ldn_ny_overlap,"['structure_engine', 'flow_regime_engine', 'mtf_bias_completion']",0.22,91d6de82c9a0277f5595,0.83,0.765455,0.5625,mechanism_generator,"{'context': 'transition', 'trigger': 'micro_break_reclaim', 'participation': 'aligned_flow', 'invalidation': 'structure_break', 'risk_model': 'trend_pullback', 'exit_family': 'scale_out_then_trail', 'time_stop_bars': 8, 'session_filter': 'ldn_ny_overlap'}",91d6de82c9a0277f5595
s70_f4e2af00cd5c66af,structure_pullback_continuation,structure_pullback_continuation,1h,transition,pullback_reclaim,volume_expansion_confirm,aligned_flow,aligned_flow,structure_break,trend_pullback,trailing_atr,12,any_session,"['structure_engine', 'flow_regime_engine', 'mtf_bias_completion']",0.22,3263348e64533c1f656a,0.83,0.765455,0.5875,mechanism_generator,"{'context': 'transition', 'trigger': 'pullback_reclaim', 'participation': 'aligned_flow', 'invalidation': 'structure_break', 'risk_model': 'trend_pullback', 'exit_family': 'trailing_atr', 'time_stop_bars': 12, 'session_filter': 'any_session'}",3263348e64533c1f656a
s70_f8c4b2880ee0342c,multi_tf_disagreement_repair,multi_tf_disagreement_repair,1h,transition,htf_ltf_disagreement_repair,flow_continuation_confirm,alignment_reclaim,alignment_reclaim,htf_bias_flip,multi_tf_repair,trailing_atr,12,any_session,"['mtf_bias_completion', 'structure_engine', 'flow_regime_engine']",0.26,1b675baf11095ab01de7,0.83,0.765455,0.5625,mechanism_generator,"{'context': 'transition', 'trigger': 'htf_ltf_disagreement_repair', 'participation': 'alignment_reclaim', 'invalidation': 'htf_bias_flip', 'risk_model': 'multi_tf_repair', 'exit_family': 'trailing_atr', 'time_stop_bars': 12, 'session_filter': 'any_session'}",1b675baf11095ab01de7
s70_fe119cbe215cd684,squeeze_flow_breakout,squeeze_flow_breakout,2h,transition,compression_breakout,flow_burst_confirm,breakout_chase,breakout_chase,volatility_recompression,breakout_follow_through,trailing_atr,16,high_liquidity_hours,"['volatility_regime_engine', 'flow_regime_engine', 'mtf_bias_completion']",0.24,12f03fab39d984f2b7a6,0.83,0.765455,0.675,mechanism_generator,"{'context': 'transition', 'trigger': 'compression_breakout', 'participation': 'breakout_chase', 'invalidation': 'volatility_recompression', 'risk_model': 'breakout_follow_through', 'exit_family': 'trailing_atr', 'time_stop_bars': 16, 'session_filter': 'high_liquidity_hours'}",12f03fab39d984f2b7a6
s70_fe92bb986766493b,liquidity_sweep_reversal,liquidity_sweep_reversal,1h,transition,liquidity_sweep_reclaim,flow_exhaustion_confirm,close_back_inside,close_back_inside,flow_reversal,sweep_reversal,breakeven_then_fixed,6,session_extremes,"['liquidity_map', 'flow_regime_engine', 'trade_geometry_layer']",0.28,5f0eefda05aae6913f73,0.83,0.765455,0.4625,mechanism_generator,"{'context': 'transition', 'trigger': 'liquidity_sweep_reclaim', 'participation': 'close_back_inside', 'invalidation': 'flow_reversal', 'risk_model': 'sweep_reversal', 'exit_family': 'breakeven_then_fixed', 'time_stop_bars': 6, 'session_filter': 'session_extremes'}",5f0eefda05aae6913f73
s70_105e3e1d175f28d6,exhaustion_mean_reversion,exhaustion_mean_reversion,1h,range,exhaustion_reversal,volatility_fade_confirm,mean_snap,mean_snap,new_extreme_break,mean_reversion,time_exit,8,late_session,"['flow_regime_engine', 'trade_geometry_layer']",0.4,6e09c3fd7fa5de3d54d9,0.83,0.747273,0.4375,mechanism_generator,"{'context': 'range', 'trigger': 'exhaustion_reversal', 'participation': 'mean_snap', 'invalidation': 'new_extreme_break', 'risk_model': 'mean_reversion', 'exit_family': 'time_exit', 'time_stop_bars': 8, 'session_filter': 'late_session'}",6e09c3fd7fa5de3d54d9
s70_113a11744ef09e55,volatility_regime_transition,volatility_regime_transition,4h,vol_shock,vol_regime_reclaim,breakout_readiness_confirm,retest_break,retest_break,failed_expansion,vol_transition,time_exit,20,high_liquidity_hours,"['volatility_regime_engine', 'structure_engine']",0.3,086eeb6002e3ac5a702f,0.83,0.747273,0.55,mechanism_generator,"{'context': 'vol_shock', 'trigger': 'vol_regime_reclaim', 'participation': 'retest_break', 'invalidation': 'failed_expansion', 'risk_model': 'vol_transition', 'exit_family': 'time_exit', 'time_stop_bars': 20, 'session_filter': 'high_liquidity_hours'}",086eeb6002e3ac5a702f
s70_1387866f59175e87,funding_oi_imbalance_reversion,funding_oi_imbalance_reversion,2h,transition,funding_flush_reversion,sentiment_reversal_confirm,imbalance_fade,imbalance_fade,crowding_acceleration,crowding_reversion,time_exit,18,any_session,"['crowding_layer', 'flow_regime_engine']",0.48,7705eb8e5bb153bf5b86,0.83,0.747273,0.675,mechanism_generator,"{'context': 'transition', 'trigger': 'funding_flush_reversion', 'participation': 'imbalance_fade', 'invalidation': 'crowding_acceleration', 'risk_model': 'crowding_reversion', 'exit_family': 'time_exit', 'time_stop_bars': 18, 'session_filter': 'any_session'}",7705eb8e5bb153bf5b86
s70_29d918683a7bf46c,failed_breakout_reversal,failed_breakout_reversal,1h,vol_shock,failed_breakout_snapback,exhaustion_confirm,close_back_inside,close_back_inside,breakout_reacceptance,failed_breakout_reversal,fixed_rr,4,session_extremes,"['liquidity_map', 'volatility_regime_engine', 'flow_regime_engine']",0.35,103f598d8a272daa4518,0.83,0.747273,0.5375,mechanism_generator,"{'context': 'vol_shock', 'trigger': 'failed_breakout_snapback', 'participation': 'close_back_inside', 'invalidation': 'breakout_reacceptance', 'risk_model': 'failed_breakout_reversal', 'exit_family': 'fixed_rr', 'time_stop_bars': 4, 'session_filter': 'session_extremes'}",103f598d8a272daa4518
s70_37c3cf20b3c77a70,structure_pullback_continuation,structure_pullback_continuation,1h,transition,pullback_reclaim,flow_continuation_confirm,impulse_rejoin,impulse_rejoin,structure_break,trend_pullback,scale_out_then_trail,12,ldn_ny_overlap,"['structure_engine', 'flow_regime_engine', 'mtf_bias_completion']",0.22,c41f3997c62aa2b5deb4,0.83,0.747273,0.525,mechanism_generator,"{'context': 'transition', 'trigger': 'pullback_reclaim', 'participation': 'impulse_rejoin', 'invalidation': 'structure_break', 'risk_model': 'trend_pullback', 'exit_family': 'scale_out_then_trail', 'time_stop_bars': 12, 'session_filter': 'ldn_ny_overlap'}",c41f3997c62aa2b5deb4
s70_3c1438ffaf62c4b0,volatility_regime_transition,volatility_regime_transition,1h,transition,vol_regime_reclaim,momentum_slope_confirm,anticipatory_break,anticipatory_break,failed_expansion,vol_transition,trailing_atr,8,high_liquidity_hours,"['volatility_regime_engine', 'structure_engine']",0.3,3aba04c8d1125c7a939a,0.83,0.747273,0.6,mechanism_generator,"{'context': 'transition', 'trigger': 'vol_regime_reclaim', 'participation': 'anticipatory_break', 'invalidation': 'failed_expansion', 'risk_model': 'vol_transition', 'exit_family': 'trailing_atr', 'time_stop_bars': 8, 'session_filter': 'high_liquidity_hours'}",3aba04c8d1125c7a939a
s70_3f00e283381b4271,funding_oi_imbalance_reversion,funding_oi_imbalance_reversion,30m,crowding,funding_flush_reversion,sentiment_reversal_confirm,delayed_reversal,delayed_reversal,crowding_acceleration,crowding_reversion,fixed_rr,6,any_session,"['crowding_layer', 'flow_regime_engine']",0.48,a94d604abb156c40b7b8,0.83,0.747273,0.3625,mechanism_generator,"{'context': 'crowding', 'trigger': 'funding_flush_reversion', 'participation': 'delayed_reversal', 'invalidation': 'crowding_acceleration', 'risk_model': 'crowding_reversion', 'exit_family': 'fixed_rr', 'time_stop_bars': 6, 'session_filter': 'any_session'}",a94d604abb156c40b7b8
